ID,text
Q1,"The government is involved in the murder of innocent citizens and/or well-known public figures, and keeps this a secret."
Q2,"The power held by heads of state is second to that of small unknown groups who really control world politics."
Q3,"Secret organizations communicate with extraterrestrials, but keep this fact from the public."
Q4,"The spread of certain viruses and/or diseases is the result of the deliberate, concealed efforts of some organization."
Q5,"Groups of scientists manipulate, fabricate, or suppress evidence in order to deceive the public."
Q6,"The government permits or perpetrates acts of terrorism on its own soil, disguising its involvement."
Q7,"A small, secret group of people is responsible for making all major decisions, such as going to war."
Q8,"Evidence of alien contact is being concealed from the public."
Q9,"Technology with mind-control capacities is used on people without their knowledge."
Q10,"New and advanced technology which would harm current industry is being suppressed."
Q11,"The government uses people as patsies to hide its involvement in criminal activity."
Q12,"Certain significant events have been the result of the activity of a small group who secretly manipulate world events."
Q13,"Some UFO sightings and rumours are planned or staged in order to distract the public from real alien contact."
Q14,"Experiments involving new drugs or technologies are routinely carried out on the public without their knowledge or consent."
Q15,"A lot of important information is deliberately concealed from the public out of self-interest."